Unnamed: 0,genre_ids,popularity,release_date,title,vote_average,vote_count,weighted_rating
42,Comedy,14.290999999999999,2010-06-24,Grown Ups,6.1,3171,6.48917586745663
47,"Drama, Thriller",13.745,2010-12-03,Black Swan,7.6,8374,7.415509431868723
54,"Adventure, Action, Science Fiction",13.459000000000001,2010-12-10,TRON: Legacy,6.3,4387,6.5438884903309695
55,"Adventure, Fantasy, Action, Romance",13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040,6.498523334953816
61,"Action, Crime",13.08,2010-04-16,Kick-Ass,7.1,7540,7.043226212341068
63,"Action, Mystery, Thriller",13.025,2010-07-23,Salt,6.3,3240,6.58871863430687
76,"Action, Adventure, Drama, Family",12.255999999999998,2010-06-10,The Karate Kid,6.3,3140,6.593420892194604
81,"Action, Adventure, Comedy, Crime, Thriller",12.082,2010-10-14,RED,6.6,4162,6.725887221177725
93,"Adventure, Drama, Thriller",11.435,2010-11-05,127 Hours,7.0,4469,6.960048772000919
118,"Action, Thriller, Romance",10.307,2010-12-10,The Tourist,6.1,3133,6.491587196816381
2468,"Adventure, Fantasy, Action",38.068000000000005,2011-05-06,Thor,6.7,12764,6.738163174199117
2469,Comedy,32.266,2011-05-25,The Hangover Part II,6.4,6231,6.562669730048194
2470,"Adventure, Action, Fantasy",30.579,2011-05-20,Pirates of the Caribbean: On Stranger Tides,6.4,8571,6.529773077355014
2471,"Family, Fantasy, Adventure",29.206,2011-07-15,Harry Potter and the Deathly Hallows: Part 2,8.1,11567,7.852976198124176
2472,"Family, Animation, Drama",28.583000000000002,1994-06-23,The Lion King,8.2,10160,7.903769322042163
2474,"Action, Adventure, Science Fiction",25.808000000000003,2011-07-22,Captain America: The First Avenger,6.9,12810,6.900101472364003
2475,"Animation, Family, Adventure, Comedy",23.498,2011-06-16,Cars 2,5.9,4058,6.32527688836425
2476,"Thriller, Action, Drama, Science Fiction",22.995,2011-08-04,Rise of the Planet of the Apes,7.2,7259,7.112428528908749
2479,"Thriller, Mystery, Science Fiction",19.453,2011-03-08,Limitless,7.1,6295,7.035621762030647
2480,"Adventure, Fantasy, Romance",19.22,2011-11-17,The Twilight Saga: Breaking Dawn - Part 1,6.0,5098,6.333613766124335
2481,"Action, Thriller, Science Fiction",18.912,2011-10-28,In Time,6.8,6245,6.8326235022255135
2483,"Action, Thriller, Adventure",18.304000000000002,2011-12-21,Mission: Impossible - Ghost Protocol,7.0,6102,6.9672164664991065
2484,"Adventure, Action, Crime, Mystery",18.301,2011-12-16,Sherlock Holmes: A Game of Shadows,7.1,6380,7.036205146916298
2485,Drama,18.012999999999998,1997-12-05,Good Will Hunting,8.1,5764,7.689411715891701
2486,"Thriller, Crime, Mystery, Drama",17.823,2011-12-14,The Girl with the Dragon Tattoo,7.3,3971,7.12808840597832
2489,"Animation, Family",17.363,2011-05-25,Kung Fu Panda 2,6.7,3628,6.7907670908380915
2490,"Adventure, Action, Thriller, Science Fiction",17.257,2011-06-17,Green Lantern,5.1,4290,5.840960806320283
2491,"Science Fiction, Drama, Romance, Fantasy",17.242,2011-12-20,Mr. Nobody,7.9,3279,7.422472412497989
2497,"Action, Science Fiction, Thriller, Western",16.293,2011-07-29,Cowboys & Aliens,5.5,3110,6.187660274644005
2498,"Horror, Thriller",16.197,2011-04-01,Insidious,6.9,3582,6.900243737173332
2500,"Horror, Action, Thriller, Crime",16.064,1996-01-19,From Dusk Till Dawn,7.0,3015,6.950391401176205
2502,"Drama, Action, Thriller, Crime",15.875,2011-09-16,Drive,7.5,6737,7.315302893917517
2506,"Horror, Comedy, Thriller",15.335999999999999,2012-04-12,The Cabin in the Woods,6.5,4185,6.667237895347929
2508,"Adventure, Comedy, Science Fiction",15.234000000000002,2011-03-17,Paul,6.5,3017,6.6997015585964546
2513,"Action, Science Fiction, Drama",14.811,2011-10-06,Real Steel,6.8,4566,6.839863108389488
2517,"Animation, Adventure, Comedy, Family",14.695,2011-04-15,Rio,6.6,3730,6.73396794622212
2520,"Animation, Comedy, Family, Western, Adventure",14.462,2011-03-03,Rango,6.6,3412,6.740612020909992
2523,"Thriller, Science Fiction, Mystery",14.39,2011-06-09,Super 8,6.7,3934,6.786761505346822
2528,"Comedy, Crime",14.058,2011-07-08,Horrible Bosses,6.5,3842,6.675621788669229
2529,"Romance, Comedy",14.019,2011-07-21,Friends with Benefits,6.6,4637,6.7180573887750255
2535,"Thriller, Science Fiction, Mystery",13.495,2011-04-01,Source Code,7.2,4529,7.080675292611883
2538,"Comedy, Drama, Romance",13.277000000000001,2011-07-29,"Crazy, Stupid, Love.",7.2,4585,7.081556266061288
2539,"Fantasy, Comedy, Romance",13.171,2011-05-20,Midnight in Paris,7.5,3965,7.241795301949012
2544,"Adventure, Drama, Family",12.936,2011-11-23,Hugo,7.1,4124,7.016002846445096
2552,Drama,12.597999999999999,2011-08-10,The Help,8.1,3944,7.581797851105252
2569,"Adventure, Animation, Mystery",11.981,2011-12-20,The Adventures of Tintin,6.8,3251,6.848248964657634
2966,"Action, Science Fiction, Adventure",5.3389999999999995,2011-06-28,Transformers: Dark of the Moon,6.1,4961,6.40167118177049
3424,"Action, Thriller, Crime",2.097,2011-04-28,Fast Five,7.2,4294,7.0768308579757155
3672,"Action, Science Fiction, Adventure",1.4469999999999998,2011-06-03,X-Men: First Class,7.2,8211,7.119864800470508
5179,"Science Fiction, Action, Adventure",50.288999999999994,2012-05-04,The Avengers,7.6,19673,7.5074495778271455
5180,"Adventure, Fantasy, Action",26.939,2012-12-14,The Hobbit: An Unexpected Journey,7.2,12076,7.140408880211918
5181,"Romance, Family, Animation, Fantasy",26.701,2012-01-13,Beauty and the Beast,7.7,5730,7.425269676755425
5182,"Action, Crime, Drama, Thriller",26.22,2012-07-20,The Dark Knight Rises,7.7,13933,7.558359669171137
5183,"Action, Comedy, Science Fiction",26.176,2012-05-25,Men in Black 3,6.4,6398,6.5597791315253104
5184,"Science Fiction, Adventure, Mystery",24.98,2012-06-08,Prometheus,6.4,7384,6.544607499814607
5185,"Comedy, Romance",24.491,1999-07-09,American Pie,6.4,4316,6.6052493545755695
5186,"Action, Adventure, Fantasy",24.391,2012-07-04,The Amazing Spider-Man,6.5,10411,6.589598410116685
5187,"Family, Animation, Comedy, Adventure",22.967,2012-11-02,Wreck-It Ralph,7.3,7780,7.188831565684126
5188,"Thriller, Action, Adventure, Science Fiction",21.741999999999997,2012-05-18,Battleship,5.6,3240,6.225257095845331
5189,"Drama, Western",21.26,2012-12-25,Django Unchained,8.0,15725,7.823850695758337
5190,"Adventure, Fantasy, Drama",21.233,2012-06-01,Snow White and the Huntsman,5.9,5258,6.263478357722799
5193,"Action, Adventure, Thriller",19.27,2012-11-09,Skyfall,7.1,10441,7.055479821298628
5195,"Animation, Adventure, Comedy, Family, Action, Fantasy",18.908,2012-06-22,Brave,6.9,8116,6.900144321525268
5196,"Animation, Family, Comedy",18.705,2012-06-08,Madagascar 3: Europe's Most Wanted,6.5,3380,6.68833922853838
5197,"Action, Adventure, Science Fiction",18.549,2012-03-09,John Carter,6.1,3338,6.478921470191679
5198,"Crime, Drama, Thriller, Action",18.312,2012-12-21,Jack Reacher,6.4,4155,6.60986782363031
5200,"Action, Thriller",18.05,2012-08-10,The Bourne Legacy,6.1,3630,6.462232922786557
5202,"Animation, Comedy, Adventure, Family",17.537,2012-07-13,Ice Age: Continental Drift,6.3,4598,6.5371155933238825
5203,"Action, Science Fiction, Adventure, Thriller",17.243,2012-08-03,Total Recall,5.9,3486,6.362782034855823
5204,"Action, Adventure, Thriller",17.215999999999998,2012-08-17,The Expendables 2,6.2,4219,6.491121246443395
5206,"Horror, Action",17.175,1998-08-21,Blade,6.6,3137,6.746912869166509
5207,"Action, Thriller, Science Fiction",16.779,2012-09-28,Looper,6.8,6723,6.831019672742452
5208,"Adventure, Fantasy, Drama, Romance",16.542,2012-11-16,The Twilight Saga: Breaking Dawn - Part 2,6.3,5130,6.521599542198631
5209,"Action, Crime, Thriller",16.078,2012-10-04,Taken 2,6.2,4035,6.49873550505684
5212,"Drama, Thriller",15.793,2012-10-12,Argo,7.2,5127,7.089455429811108
5213,"Comedy, Fantasy",15.75,2012-05-11,Dark Shadows,5.9,4197,6.317063259424047
5218,"Drama, Comedy, Romance",15.350999999999999,2012-12-25,Silver Linings Playbook,7.1,7636,7.04373864968737
5220,"Animation, Comedy, Family, Fantasy",15.318,2012-09-28,Hotel Transylvania,6.9,5013,6.900200209419053
5222,Drama,15.148,2012-09-21,The Perks of Being a Wallflower,7.8,5938,7.498098487141963
5223,"Adventure, Drama, Action",15.0,2012-11-21,Life of Pi,7.3,8723,7.19777397236841
5225,"Animation, Family, Fantasy",14.934000000000001,2012-11-21,Rise of the Guardians,7.3,3697,7.121054842179314
5226,"Action, Comedy, Crime",14.835999999999999,2012-03-12,21 Jump Street,6.8,6527,6.831657843820182
5227,"Drama, Science Fiction",14.681,2012-10-26,Cloud Atlas,6.8,4505,6.840187112335093
5228,"Thriller, Drama",14.66,2012-12-04,The Impossible,7.2,3614,7.064167565478511
5231,"Comedy, Fantasy",14.475,2012-06-29,Ted,6.3,7727,6.467950431441676
5235,"Science Fiction, Adventure, Fantasy",14.212,2012-03-23,The Hunger Games,7.1,14587,7.06597511105219
5236,"Comedy, Drama, Romance",14.085999999999999,2012-05-25,Moonrise Kingdom,7.7,3023,7.301793836638697
5239,"Comedy, Music, Romance",13.886,2012-09-28,Pitch Perfect,7.3,4233,7.134315536855366
5260,Comedy,12.592,2012-05-16,The Dictator,6.0,3042,6.4471374177548615
5261,"Science Fiction, Drama, Thriller",12.556,2012-02-02,Chronicle,6.7,3084,6.798883017435054
5275,Drama,11.692,2012-11-02,Flight,6.7,3582,6.79140143999922
5295,"History, Drama",10.458,2012-12-25,Les Misérables,7.4,3283,7.161515880642188
7881,"Action, Adventure, Science Fiction",32.093,2013-05-03,Iron Man 3,6.9,14155,6.900093516646743
7882,"Action, Adventure, Fantasy",31.014,2013-11-08,Thor: The Dark World,6.7,10171,6.7456764314080075
7883,"Crime, Drama, Comedy",29.518,2013-12-25,The Wolf of Wall Street,7.9,12411,7.705437951987208
7884,"Science Fiction, Thriller, Drama",27.836,2013-10-04,Gravity,7.2,9586,7.128619440495381
7885,"Action, Adventure, Fantasy, Science Fiction",27.666999999999998,2013-06-14,Man of Steel,6.5,9758,6.594184376710681
7888,"Science Fiction, Horror, Thriller",24.364,2013-06-06,The Purge,6.2,4797,6.469540115182104
7890,"Adventure, Fantasy, Action",21.275,2013-12-13,The Hobbit: The Desolation of Smaug,7.6,7739,7.404600454239209
7891,"Action, Adventure, Science Fiction",20.487,2013-05-16,Star Trek Into Darkness,7.4,6182,7.23681161817413
7892,"Animation, Family",20.33,2013-06-21,Monsters University,7.0,6362,6.968126925664908
7893,"Adventure, Action, Science Fiction",20.187,2013-11-22,The Hunger Games: Catching Fire,7.4,11170,7.294255771212058
7894,"Animation, Comedy, Family",19.014,2013-07-03,Despicable Me 2,6.9,7319,6.900155468366592
7895,"Horror, Thriller",18.886,2013-07-19,The Conjuring,7.5,5912,7.298205147898885
7896,"Action, Science Fiction, Adventure, Mystery",18.534000000000002,2013-04-18,Oblivion,6.5,6850,6.621990282038057
7897,Comedy,18.519000000000002,2013-05-23,The Hangover Part III,6.1,5130,6.395400280206011
7902,"Science Fiction, Action, Drama, Thriller",17.663,2013-08-09,Elysium,6.4,5406,6.578634817758134
7907,"Action, Science Fiction, Adventure",16.759,2013-07-12,Pacific Rim,6.8,7632,6.828367595755725
7909,"Thriller, Crime",16.646,2013-05-31,Now You See Me,7.4,9871,7.283583581545713
7911,"Drama, History",16.493,2013-10-30,12 Years a Slave,7.9,6631,7.588672440875804
7914,"Action, Adventure, Animation, Comedy, Family, Fantasy",16.29,2013-03-22,The Croods,6.8,3873,6.843882478986595
7916,"Fantasy, Horror, Action",15.982000000000001,2013-01-25,Hansel & Gretel: Witch Hunters,5.9,4548,6.2976688232743605
7917,"Romance, Science Fiction, Drama",15.968,2013-12-18,Her,7.9,7776,7.621752438574133
7919,"Action, Thriller",15.857999999999999,2013-02-14,A Good Day to Die Hard,5.2,4437,5.885976103008588
7920,"Adventure, Family, Fantasy",15.762,2013-08-07,Percy Jackson: Sea of Monsters,5.9,3109,6.391341345240607
7921,"Science Fiction, Action, Adventure",15.533,2013-11-01,Ender's Game,6.6,3558,6.737481591655209
7922,"Action, Drama, Thriller",15.482999999999999,2013-10-11,Captain Phillips,7.6,3909,7.296280833416539
7924,"Drama, Romance",15.397,2013-05-10,The Great Gatsby,7.4,7120,7.2519371816279525
7925,"Horror, Adventure, Action",15.259,2004-05-07,Van Helsing,6.1,3047,6.49715632182485
7926,"Adventure, Action, Science Fiction, Thriller",15.065,2013-03-29,G.I. Joe: Retaliation,5.5,3883,6.110432119435546
7932,"Action, Adventure, Crime",14.793,2013-08-16,Kick-Ass 2,6.4,3785,6.621312347542354
7933,"Comedy, Crime",14.745999999999999,2013-08-07,We're the Millers,6.8,5231,6.836642483060974
7934,"Drama, Action",14.623,2013-09-27,Rush,7.7,3877,7.351243896768194
7935,"Action, Drama, Horror, Science Fiction, Thriller",14.582,2013-06-21,World War Z,6.7,9132,6.749588219425888
7937,"Science Fiction, Action, Adventure",14.415,2013-05-31,After Earth,5.1,4154,5.8550467260378625
7938,"Drama, Thriller, Crime",14.357999999999999,2013-09-21,Prisoners,8.0,5785,7.624542319644265
7940,"Comedy, Drama, Science Fiction",14.133,2013-11-08,About Time,7.9,3981,7.470491946436738
7943,"Action, Thriller",13.864,2013-03-22,Olympus Has Fallen,6.2,4086,6.496585418864645
7951,"Fantasy, Adventure, Family",13.377,2013-03-08,Oz the Great and Powerful,5.8,4829,6.221714686176378
7953,"Horror, Comedy, Romance",13.259,2013-02-01,Warm Bodies,6.3,4109,6.553425837399757
7964,"Action, Adventure, Family, Fantasy",12.773,2013-03-01,Jack the Giant Slayer,5.6,3403,6.209340040305305
7967,"Action, Adventure, Western",12.482000000000001,2013-07-03,The Lone Ranger,6.0,3789,6.397938470772553
7968,"Drama, Crime",12.481,2013-12-12,American Hustle,6.8,4443,6.840521869954974
7970,"Drama, History",12.389000000000001,2013-11-22,Dallas Buyers Club,7.9,4961,7.5233644363867445
7998,"Adventure, Comedy, Drama, Fantasy",10.743,2013-12-25,The Secret Life of Walter Mitty,7.1,4859,7.023858541554253
8001,"Action, Comedy",10.635,2013-06-12,This Is the End,6.2,3789,6.5095602118242555
8491,"Action, Science Fiction, Adventure, Fantasy",4.323,2013-07-25,The Wolverine,6.3,6176,6.496338739982003
8880,"Action, Thriller, Crime",2.114,2013-05-22,Fast & Furious 6,6.8,7077,6.829929967061117
11019,"Action, Thriller",78.123,2014-10-24,John Wick,7.2,10081,7.131320562500946
11020,"Action, Adventure, Fantasy",53.783,2014-12-17,The Hobbit: The Battle of the Five Armies,7.3,8392,7.194803746319774
11021,"Action, Science Fiction, Adventure",49.606,2014-08-01,Guardians of the Galaxy,7.9,17958,7.756933117572043
11022,"Action, Adventure, Fantasy, Science Fiction",41.867,2014-05-23,X-Men: Days of Future Past,7.5,10062,7.362318502379029
11023,"Action, Mystery, Science Fiction, Thriller",36.955,2014-09-19,The Maze Runner,7.1,10626,7.056084271104863
11024,"Adventure, Family, Animation, Action, Comedy",36.92,2014-11-07,Big Hero 6,7.8,10176,7.5952037248083535
11025,"Science Fiction, Adventure, Thriller",33.836999999999996,2014-11-21,The Hunger Games: Mockingjay - Part 1,6.8,10087,6.823046097507058
11026,"History, Drama, Thriller, War",33.078,2014-12-19,The Imitation Game,8.1,10396,7.831382821594123
11027,"Mystery, Thriller, Drama",31.215,2014-10-03,Gone Girl,7.9,10459,7.677220022146882
11028,"War, Drama, Action",29.116999999999997,2014-10-17,Fury,7.4,6653,7.244774088684851
11029,"Horror, Action, Drama, Fantasy, War",29.043000000000003,2014-10-03,Dracula Untold,6.2,3719,6.5127852772845465
11030,"Thriller, Action, Crime",28.941999999999997,2014-09-26,The Equalizer,7.2,4989,7.087545910386139
11032,"Adventure, Drama, Science Fiction",28.44,2014-11-05,Interstellar,8.2,18597,8.01949364625063
11033,"Horror, Thriller",28.424,2014-07-18,The Purge: Anarchy,6.6,3754,6.733491897849403
11034,"Science Fiction, Action, Drama, Thriller",27.641,2014-07-11,Dawn of the Planet of the Apes,7.3,7080,7.1811115355233
11035,"Fantasy, Action, Adventure, Animation, Comedy, Family",27.105999999999998,2014-06-13,How to Train Your Dragon 2,7.7,5589,7.420759608577816
11037,"Crime, Comedy, Action, Adventure",26.103,2015-02-13,Kingsman: The Secret Service,7.6,10287,7.442071519385479
11038,"Science Fiction, Action, Adventure, Fantasy, Comedy",25.619,2014-08-08,Teenage Mutant Ninja Turtles,5.8,4259,6.254829078120245
11039,"Crime, Drama, Thriller",25.596999999999998,2014-10-31,Nightcrawler,7.7,5860,7.429300708586329
11041,"Action, Drama, Science Fiction",24.982,2014-05-16,Godzilla,6.1,5053,6.3982247954892415
11043,"Action, War, Fantasy",23.68,2014-03-07,300: Rise of an Empire,6.0,3870,6.393246619807114
11044,"Drama, Comedy",21.833000000000002,2014-10-17,Birdman,7.4,7747,7.260575442269923
11045,"Science Fiction, Action, Adventure",20.961,2014-06-27,Transformers: Age of Extinction,5.8,4805,6.2230114385746145
11048,"Action, Adventure, Fantasy",20.846999999999998,2014-05-02,The Amazing Spider-Man 2,6.4,7220,6.546928011553314
11050,"Adventure, Comedy, Fantasy, Family",20.064,2014-12-19,Night at the Museum: Secret of the Tomb,6.1,3536,6.4674425150053345
11051,"Action, Science Fiction",19.753,2014-06-06,Edge of Tomorrow,7.6,8047,7.410048364087523
11052,"Adventure, Animation, Comedy, Family, Fantasy",19.375,2014-02-07,The Lego Movie,7.4,4839,7.208853715789625
11054,"Fantasy, Adventure, Action, Family, Romance",19.274,2014-05-30,Maleficent,7.0,8143,6.973221240067744
11055,"Horror, Mystery, Crime",19.127,2004-10-29,Saw,7.4,4795,7.207774763062844
11057,"War, Action",18.473,2014-12-25,American Sniper,7.4,7658,7.259411172647296
11059,"Horror, Thriller",18.419,2015-03-27,It Follows,6.5,3485,6.6852897884463935
11061,"Comedy, Drama",18.31,2014-03-07,The Grand Budapest Hotel,8.0,8091,7.7026061020714875
11063,"Action, Adventure, Science Fiction",18.073,2014-04-04,Captain America: The Winter Soldier,7.7,11034,7.5291010601449955
11064,"Action, Science Fiction",17.851,2014-02-12,RoboCop,5.8,3390,6.316682985614221
11066,"Action, Adventure, Science Fiction",16.982,2014-03-21,Divergent,6.9,8279,6.900142235843148
11068,"Action, Science Fiction",16.73,2014-07-25,Lucy,6.3,10019,6.438382692839301
11072,"Romance, Drama",16.03,2014-05-16,The Fault in Our Stars,7.6,7236,7.394998464055771
11078,"Action, Comedy",15.501,2014-12-25,The Interview,6.2,3579,6.519441294737023
11083,Comedy,14.979000000000001,2014-05-09,Neighbors,6.2,4536,6.4788753022923125
11091,Horror,13.989,2014-10-03,Annabelle,5.6,3357,6.213749296535294
11095,"Drama, Romance",13.866,2014-11-26,The Theory of Everything,7.9,6412,7.581428418834984
11126,"Drama, Horror",11.502,2014-11-28,The Babadook,6.4,3528,6.630025165146273
11129,"Comedy, Romance",11.338,2014-12-06,"Love, Rosie",7.8,3594,7.390780145294945
11136,"Crime, Comedy, Action",11.175999999999998,2014-06-13,22 Jump Street,6.9,5167,6.900196434195527
11138,Drama,11.140999999999998,2014-07-11,Boyhood,7.5,3097,7.2050359649130495
11248,"Drama, Science Fiction",8.687000000000001,2014-08-11,The Giver,6.5,3075,6.697794942892982
14169,"Action, Adventure, Science Fiction",44.383,2015-05-01,Avengers: Age of Ultron,7.3,13457,7.227180183391558
14171,"Science Fiction, Action, Adventure",32.715,2015-07-17,Ant-Man,7.1,11949,7.05997085277108
14172,"Action, Adventure, Science Fiction, Fantasy",32.281,2015-12-18,Star Wars: The Force Awakens,7.4,12641,7.304200772206053
14174,"Science Fiction, Action, Thriller, Adventure",31.11,2015-07-01,Terminator Genisys,5.9,5309,6.261247355647475
14175,"Action, Adventure, Crime",30.318,2015-11-06,Spectre,6.4,6719,6.554501932099482
14176,"Romance, Fantasy, Family, Drama",29.055999999999997,2015-03-13,Cinderella,6.7,4517,6.780032496750682
14177,"Action, Adventure, Science Fiction",28.099,2015-05-15,Mad Max: Fury Road,7.4,14454,7.3141517290062374
14178,"Thriller, Action",27.679000000000002,2015-01-09,Taken 3,6.1,3406,6.474899200448777
14179,"Action, Drama, Thriller",27.414,2015-05-29,San Andreas,6.1,5125,6.39558206499383
14182,"Action, Adventure, Science Fiction, Thriller",25.456,2015-03-20,Insurgent,6.3,6771,6.484382793785167
14183,"Action, Drama",25.305,2015-07-24,Southpaw,7.4,3424,7.166750354619376
14185,"Crime, Action, Science Fiction",24.52,2015-03-06,Chappie,6.7,4995,6.775247564487162
14186,"Science Fiction, Fantasy, Action, Adventure",24.058000000000003,2015-02-27,Jupiter Ascending,5.3,4401,5.948777770311427
14188,"Drama, Adventure, Science Fiction",22.855999999999998,2015-10-02,The Martian,7.7,12172,7.541919607044218
14191,"Drama, Romance, Thriller",21.229,2015-02-13,Fifty Shades of Grey,5.4,6451,5.876309837908673
14193,"Action, Adventure, Science Fiction, Thriller",20.709,2015-06-12,Jurassic World,6.6,14056,6.652861414052232
14194,"Crime, Drama, Mystery, Western",20.680999999999997,2015-12-25,The Hateful Eight,7.7,8065,7.483244851159048
14195,"Action, Crime, Thriller",20.468,2015-09-18,Sicario,7.3,4475,7.139679502083594
14196,"Action, Crime, Thriller",20.396,2015-04-03,Furious 7,7.3,6538,7.174355659265556
14197,Action,20.177,2015-07-31,Mission: Impossible - Rogue Nation,7.1,5242,7.0273967821008085
14198,"Adventure, Family, Mystery, Science Fiction",20.136,2015-05-22,Tomorrowland,6.2,4610,6.476163505660297
14199,"Drama, Thriller",20.0,2015-10-16,Room,8.1,5494,7.67636028703495
14202,"Action, Adventure, Science Fiction",19.487000000000002,2015-11-18,The Hunger Games: Mockingjay - Part 2,6.8,7609,6.828429095869061
14203,"Western, Drama, Adventure",19.41,2015-12-25,The Revenant,7.4,11064,7.293458779726598
14207,"Comedy, Action, Adventure",18.956,2015-08-14,The Man from U.N.C.L.E.,7.1,3525,7.008291843383121
14208,"Drama, Science Fiction",18.485,2015-04-10,Ex Machina,7.6,8026,7.409686584262186
14210,"Comedy, Music",18.469,2015-05-15,Pitch Perfect 2,6.8,3599,6.8457045428208625
14214,Comedy,17.684,2015-06-26,Ted 2,6.1,4227,6.43230998728032
14215,"Adventure, Animation, Family",17.675,2015-11-25,The Good Dinosaur,6.7,3135,6.798061007021168
14218,"Action, Science Fiction, Thriller",17.31,2015-09-18,Maze Runner: The Scorch Trials,6.6,6365,6.696273815064054
14223,"Animation, Comedy, Family, Fantasy",16.553,2015-09-25,Hotel Transylvania 2,6.7,3184,6.797284003569675
14224,"Action, Adventure, Science Fiction",16.36,2015-08-07,Fantastic Four,4.4,3837,5.497207002789947
14225,Drama,16.355999999999998,2015-11-25,Creed,7.3,4010,7.129044832820951
14226,"Drama, Thriller, History",16.354,2015-11-06,Spotlight,7.8,4935,7.459937527167595
14241,Comedy,14.377,2015-09-25,The Intern,7.1,3373,7.006104547006883
14244,"Comedy, Drama",14.327,2015-12-11,The Big Short,7.3,4657,7.143490176057838
14252,"Science Fiction, Thriller",13.625,2015-01-09,Predestination,7.4,3332,7.163361383145116
14261,"Thriller, Drama",12.835999999999999,2015-10-16,Bridge of Spies,7.2,4313,7.077150865318593
14277,Drama,12.082,2015-11-27,The Danish Girl,7.7,3655,7.339609959139725
14283,"Drama, Mystery, Romance",11.564,2015-07-24,Paper Towns,6.0,3587,6.410141836659308
14299,"Romance, Comedy, Crime, Drama",10.704,2015-02-27,Focus,6.8,4173,6.842047159915638
14351,"Family, Animation, Adventure, Comedy",9.338,2015-07-10,Minions,6.4,7343,6.545180728809327
14397,"Fantasy, Drama, Romance",8.559,2015-04-24,The Age of Adaline,7.4,3853,7.1813518572997035
17381,"Action, Adventure, Science Fiction, Fantasy",39.293,2016-05-27,X-Men: Apocalypse,6.5,8348,6.6058868768130825
17382,"Adventure, Action, Science Fiction",39.137,2016-05-06,Captain America: Civil War,7.4,14000,7.311859075180874
17383,"Action, Adventure, Comedy",35.067,2016-02-12,Deadpool,7.6,20175,7.509454337781008
17384,"Action, Adventure, Fantasy, Science Fiction",33.035,2016-11-04,Doctor Strange,7.3,12582,7.223091020284614
17388,"Adventure, Family, Fantasy",28.563000000000002,2016-11-18,Fantastic Beasts and Where to Find Them,7.4,12152,7.301109046863442
17390,"Action, Adventure, Fantasy",28.088,2016-03-25,Batman v Superman: Dawn of Justice,5.8,11991,6.020239095328855
